,dis,force_f_31000011,force_f_31000010,force_f_31000022,force_f_31000023,force_f_31000021,force_f_31000009,force_f_31000008,force_f_31000020,force_f_31000019
2,-70.06973125,212.28482000000002,216.70506,201.22976000000003,224.34334765625,211.69541031250003,195.582376875,222.4051625,201.73481999999998,175.82581999999996
4,-70.045154296875,212.28482000000002,216.70506,201.22976000000003,224.44181911458338,206.04973858072927,193.2580660763889,220.922649375,201.73481999999998,175.82581999999996
6,-70.030484765625,212.28482000000002,216.70506,200.96196998046875,223.4025544401042,196.72485505208337,192.48281965277783,218.80390687499985,201.73481999999998,175.82581999999996
8,-70.016947265625,212.28482000000002,216.70506,196.02044801269517,217.5696558789062,189.89653242187504,191.94759804687513,214.31607062499984,201.73481999999998,175.82581999999996
10,-70.00385859374998,212.28482000000002,216.70506,203.90459716796857,210.15810885091136,186.9625995442708,191.7381950000002,210.01323249999984,201.73481999999998,175.82581999999996
12,-69.99084374999998,212.28482000000002,216.70506,218.86019033365847,201.91888847981755,186.90946790798608,191.60504005208347,205.8693893749999,201.73481999999998,175.82581999999996
3582,-69.97791914062498,212.28482000000002,216.70506,197.3615418123368,197.0516988264973,183.76712376302078,191.1234997395835,201.97974031249998,201.73481999999998,175.82581999999996
3581,-69.97433148437499,212.28482000000002,216.70506,170.64383182198625,196.08742112862723,182.36473850446427,190.67642535714305,201.1272408035714,201.73481999999998,175.76701999999995
3579,-69.97242499999996,212.28482000000002,216.70506,162.55458214378686,196.35642129417778,181.9889493973214,190.50686595238116,200.87245901785718,201.73481999999998,176.44845999999995
3577,-69.97036499999996,212.28482000000002,216.70506,154.4653324655875,196.6254214597284,181.61316029017848,190.33730654761922,200.61767723214297,201.73481999999998,180.33070999999995
15,-69.96833499999997,212.28482000000002,216.70506,146.3760827873881,196.89442162527894,181.23737118303558,190.1677471428573,200.3628954464287,201.73481999999998,184.16630249999992
3574,-69.96727499999996,212.28482000000002,216.70376682124635,142.874089027855,197.1325353680378,180.93055447783783,190.01134583917963,200.04051904974506,201.73481999999998,185.63462999999993
3572,-69.96521499999996,212.28482000000002,216.70204258290812,140.90118057454401,197.36035363653266,180.64672857328844,189.85933056919657,199.69561111607157,201.73481999999998,187.6853999999999
3570,-69.96315499999996,212.28482000000002,216.70031834456995,138.928272121233,197.58817190502754,180.36290266873908,189.7073152992136,199.35070318239812,201.73481999999998,189.03002499999985
17,-69.96231875,212.28482000000002,216.6959276403061,137.6176869531247,197.7215380691963,180.13830847098177,189.56805529017885,199.05403669642874,202.73074749999998,189.47110812499986
22,-69.962,212.28482000000002,216.6711474362245,138.9704563281247,197.4215577715771,180.04451031621986,189.3660668377979,198.75015241071446,204.60313249999993,189.70938562499987
21,-69.962,212.28482000000002,216.67734248724494,138.63226398437473,197.49655284598188,180.0679598549103,189.41656395089313,198.8261234821431,153.1717865999999,189.9476631249999
3569,-69.96180499999997,212.28482000000002,216.66476546556126,139.33604643359348,197.36087368415153,180.04772998325853,189.35850135491097,198.76198277678589,205.90733349999985,190.18594062499994
3567,-69.96006499999993,212.28482000000002,216.62684748086735,141.4747915429685,196.96814718563957,180.0137095740323,189.22724519717283,198.65736209821443,204.33148749999992,191.79503999999997
23,-69.9584067773437,212.28482000000002,216.58892949617348,143.6135366523435,196.57542068712763,179.9796891648061,189.09598903943473,198.55274141964293,202.7556414999999,191.99913749999996
3564,-69.95697499999994,212.28482000000002,216.43889900580263,149.033667408447,195.84647096679657,179.9654858007808,188.8714566015627,198.27370664062505,202.3616799999999,192.5010749999999
3562,-69.95491499999993,212.28482000000002,216.2514976802062,155.5475933801267,195.00544683919242,179.95788811848914,188.6158320703127,197.93653382812508,202.3616799999999,194.43124499999993
3560,-69.95285499999993,212.28482000000002,216.06409635460975,162.0615193518064,194.16442271158826,179.9502904361975,188.3602075390627,197.5993610156251,202.3616799999999,197.0527099999999
24,-69.95128341796868,212.28482000000002,215.87669502901332,168.57544532348606,193.3233985839841,179.94269275390582,188.10458300781272,197.26218820312513,202.3616799999999,200.0037374999999
3557,-69.94976499999993,212.28482000000002,215.5769797341917,173.8433908258054,192.68868100423157,180.15606726399693,187.76910969726586,196.7532834375001,202.3616799999999,202.10236999999987
3555,-69.94770499999993,212.28482000000002,215.23982644962837,178.69600950500467,192.12273227376278,180.44309917154902,187.40702012695337,196.18713468750013,202.3616799999999,203.12217999999984
3553,-69.94564499999993,212.28482000000002,214.90267316506495,183.54862818420392,191.556783543294,180.73013107910103,187.0449305566409,195.62098593750008,202.3616799999999,201.27908999999983
25,-69.94388623046868,212.28482000000002,214.56551988050163,188.40124686340317,190.99083481282528,181.01716298665312,186.68284098632842,195.0548371875001,202.3616799999999,197.46822999999986
3550,-69.94255499999991,212.28482000000002,214.14898601438227,189.31159814178454,190.53937959554014,181.32241586588486,186.28175431640653,194.3882085937501,202.3616799999999,193.93495499999983
3548,-69.94049499999993,212.28482000000002,213.70599195441096,188.9078602865599,190.1260888826495,181.6337424023432,185.86766861328152,193.68808671875013,202.3616799999999,183.93951999999982
3546,-69.93843499999993,212.28482000000002,213.26299789443956,188.5041224313353,189.71279816975886,181.9450689388015,185.4535829101565,192.98796484375012,202.3616799999999,170.1000549999998
26,-69.9365234179687,212.28482000000002,212.8200038344682,188.10038457611068,189.29950745686824,182.25639547525986,185.0394972070315,192.2878429687501,202.3616799999999,159.2643799999998
3543,-69.93534499999993,212.28482000000002,212.17463046335035,185.69596643247237,188.69229879557267,182.70262522424713,184.50135835069472,191.4689437500001,202.3616799999999,152.74201999999974
3541,-69.93328499999993,212.28482000000002,211.46179732185036,182.62465485936275,188.02045081814202,183.193822710744,183.92186844328728,190.6104520833334,202.3616799999999,145.18527499999976
3539,-69.93122499999993,212.28482000000002,210.74896418035036,179.55334328625315,187.34860284071146,183.68502019724087,183.34237853587982,189.75196041666675,202.3616799999999,138.02613499999975
3537,-69.92916499999993,212.28482000000002,210.03613103885044,176.48203171314356,186.67675486328093,184.17621768373778,182.76288862847247,188.89346875000007,202.3616799999999,132.07835999999972
3536,-69.92803285156245,212.28482000000002,209.32145496454606,171.32923183780218,186.02393870524054,184.74141652235176,182.14735007161488,188.07501210937505,202.3616799999999,128.1935454999997
3534,-69.92607499999993,212.28482000000002,208.60125009182855,159.93196705576548,185.42821800537075,185.52861941731715,181.42366556640653,187.37666054687497,202.3616799999999,127.85201799999969
3532,-69.92401499999993,212.28482000000002,207.88104521911103,148.53470227372878,184.832497305501,186.3158223122825,180.69998106119817,186.67830898437492,202.3616799999999,131.87107999999972
3530,-69.92195499999994,212.28482000000002,207.1608403463935,137.13743749169208,184.23677660563123,187.1030252072478,179.9762965559898,185.97995742187493,202.3616799999999,140.2081099999997
3529,-69.9204599804687,212.28482000000002,206.45094387086,126.94018003466155,183.70030373770226,187.87188106433211,179.22593602141222,185.37710965277773,202.3616799999999,145.62521499999968
3527,-69.91886499999993,212.28482000000002,205.7719725868783,120.3429445526496,183.34157436559576,188.58569580777345,178.39554739872705,185.06077326388882,202.3616799999999,151.9479749999997
